PIN,HG Subtitle,Prescription provided,Advised the patient to seek medical attention from a physician or other health care professional
98890001,Minor Ailment - Acne,Yes,No
98890002,Minor Ailment - Acne,Yes,Yes
98890003,Minor Ailment - Acne,No,No
98890004,Minor Ailment - Acne,No,Yes
98890005,Minor Ailment - Allergies,Yes,No
98890006,Minor Ailment - Allergies,Yes,Yes
98890007,Minor Ailment - Allergies,No,No
98890008,Minor Ailment - Allergies,No,Yes
98890009,Minor Ailment - Pink Eye,Yes,No
98890010,Minor Ailment - Pink Eye,Yes,Yes
98890011,Minor Ailment - Pink Eye,No,No
98890012,Minor Ailment - Pink Eye,No,Yes
98890013,Minor Ailment - Contraception,Yes,No
98890014,Minor Ailment - Contraception,Yes,Yes
98890015,Minor Ailment - Contraception,No,No
98890016,Minor Ailment - Contraception,No,Yes
98890017,Minor Ailment - Dermatitis,Yes,No
98890018,Minor Ailment - Dermatitis,Yes,Yes
98890019,Minor Ailment - Dermatitis,No,No
98890020,Minor Ailment - Dermatitis,No,Yes
98890021,Minor Ailment - Menstrual Pain,Yes,No
98890022,Minor Ailment - Menstrual Pain,Yes,Yes
98890023,Minor Ailment - Menstrual Pain,No,No
98890024,Minor Ailment - Menstrual Pain,No,Yes
98890029,Minor Ailment - Fungal Infection,Yes,No
98890030,Minor Ailment - Fungal Infection,Yes,Yes
98890031,Minor Ailment - Fungal Infection,No,No
98890032,Minor Ailment - Fungal Infection,No,Yes
98890033,Minor Ailment - Heartburn and Indigestion,Yes,No
98890034,Minor Ailment - Heartburn and Indigestion,Yes,Yes
98890035,Minor Ailment - Heartburn and Indigestion,No,No
98890036,Minor Ailment - Heartburn and Indigestion,No,Yes
98890037,Minor Ailment - Headache,Yes,No
98890038,Minor Ailment - Headache,Yes,Yes
98890039,Minor Ailment - Headache,No,No
98890040,Minor Ailment - Headache,No,Yes
98890041,Minor Ailment - Hemorrhoid,Yes,No
98890042,Minor Ailment - Hemorrhoid,Yes,Yes
98890043,Minor Ailment - Hemorrhoid,No,No
98890044,Minor Ailment - Hemorrhoid,No,Yes
98890045,Minor Ailment - Cold Sore,Yes,No
98890046,Minor Ailment - Cold Sore,Yes,Yes
98890047,Minor Ailment - Cold Sore,No,No
98890048,Minor Ailment - Cold Sore,No,Yes
98890049,Minor Ailment - Impetigo,Yes,No
98890050,Minor Ailment - Impetigo,Yes,Yes
98890051,Minor Ailment - Impetigo,No,No
98890052,Minor Ailment - Impetigo,No,Yes
98890053,Minor Ailment - Canker Sores,Yes,No
98890054,Minor Ailment - Canker Sores,Yes,Yes
98890055,Minor Ailment - Canker Sores,No,No
98890056,Minor Ailment - Canker Sores,No,Yes
98890057,Minor Ailment - Oral Thrush,Yes,No
98890058,Minor Ailment - Oral Thrush,Yes,Yes
98890059,Minor Ailment - Oral Thrush,No,No
98890060,Minor Ailment - Oral Thrush,No,Yes
98890061,Minor Ailment - Muscle Sprain or Strain,Yes,No
98890062,Minor Ailment - Muscle Sprain or Strain,Yes,Yes
98890063,Minor Ailment - Muscle Sprain or Strain,No,No
98890064,Minor Ailment - Muscle Sprain or Strain,No,Yes
98890065,Minor Ailment - Shingles,Yes,No
98890066,Minor Ailment - Shingles,Yes,Yes
98890067,Minor Ailment - Shingles,No,No
98890068,Minor Ailment - Shingles,No,Yes
98890069,Minor Ailment - Nicotine Dependence,Yes,No
98890070,Minor Ailment - Nicotine Dependence,Yes,Yes
98890071,Minor Ailment - Nicotine Dependence,No,No
98890072,Minor Ailment - Nicotine Dependence,No,Yes
98890073,Minor Ailment - Pinworms,Yes,No
98890074,Minor Ailment - Pinworms,Yes,Yes
98890075,Minor Ailment - Pinworms,No,No
98890076,Minor Ailment - Pinworms,No,Yes
98890077,Minor Ailment - UTI,Yes,No
98890078,Minor Ailment - UTI,Yes,Yes
98890079,Minor Ailment - UTI,No,No
98890080,Minor Ailment - UTI,No,Yes
98890081,Minor Ailment - Itching (Hives and Bites) ,Yes,No
98890082,Minor Ailment - Itching (Hives and Bites) ,Yes,Yes
98890083,Minor Ailment - Itching (Hives and Bites) ,No,No
98890084,Minor Ailment - Itching (Hives and Bites) ,No,Yes
98890085,Minor Ailment - Yeast Infection,Yes,No
98890086,Minor Ailment - Yeast Infection,Yes,Yes
98890087,Minor Ailment - Yeast Infection,No,No
98890088,Minor Ailment - Yeast Infection,No,Yes
